,filepath,title,quarterlength,measures,parts,offsets
16,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv117.4.mxl,,40.0,12,4,0.0
17,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv119.9.mxl,,86.0,21,4,0.0
18,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv12.7.mxl,,56.0,15,5,0.0
19,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv120.6.mxl,,64.0,17,4,0.0
20,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv120.8-a.mxl,,84.0,28,8,0.0
21,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv121.6.mxl,,65.0,18,4,0.0
22,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv122.6.mxl,,48.0,16,4,0.0
23,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv123.6.mxl,,96.0,16,4,0.0
24,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv124.6.mxl,,52.0,13,5,0.0
25,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv125.6.mxl,,48.0,13,4,0.0
26,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv126.6.mxl,,108.0,30,4,0.0
27,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv127.5.mxl,,48.0,15,4,0.0
28,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv128.5.mxl,,64.0,17,6,0.0
29,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv13.6.mxl,,48.0,15,4,0.0
30,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv130.6.mxl,,49.0,17,8,0.0
31,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv133.6.mxl,,48.0,15,4,0.0
32,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv135.6.mxl,,64.0,17,4,0.0
33,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv136.6.mxl,,48.0,13,5,0.0
34,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv137.5.mxl,,54.0,18,8,0.0
35,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv139.6.mxl,,48.0,13,4,0.0
36,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv14.5.mxl,,40.0,12,4,0.0
37,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv140.7.mxl,,68.0,18,4,0.0
38,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv144.3.mxl,,40.0,12,4,0.0
39,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv144.6.mxl,,60.0,18,4,0.0
40,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv145-a.mxl,,48.0,12,4,0.0
41,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv145.5.mxl,,54.0,19,4,0.0
42,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv146.8.mxl,,64.0,16,4,0.0
43,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv148.6.mxl,,48.0,15,4,0.0
44,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv149.7.mxl,,105.0,27,8,0.0
45,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv151.5.mxl,,40.0,12,4,0.0
46,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv153.1.mxl,,40.0,12,4,0.0
47,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv153.5.mxl,,48.0,15,4,0.0
48,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv153.9.mxl,,48.0,16,4,0.0
49,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv154.3.mxl,,48.0,12,4,0.0
50,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv154.8.mxl,,52.0,14,4,0.0
51,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv155.5.mxl,,40.0,12,4,0.0
52,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv156.6.mxl,,48.0,14,4,0.0
53,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv157.5.mxl,,52.0,13,4,0.0
54,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv158.4.mxl,,64.0,17,4,0.0
55,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv159.5.mxl,,64.0,16,4,0.0
56,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv16.6.mxl,,48.0,15,4,0.0
57,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv161.6.mxl,,48.0,14,5,0.0
58,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv162.6-lpz.mxl,,64.0,16,4,0.0
59,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv164.6.mxl,,40.0,12,4,0.0
60,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv165.6.mxl,,32.0,9,4,0.0
61,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv166.6.mxl,,36.0,11,4,0.0
62,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv168.6.mxl,,44.0,14,4,0.0
63,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv169.7.mxl,,60.0,16,4,0.0
64,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv17.7.mxl,,111.0,42,4,0.0
65,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv171.6.mxl,,169.0,48,8,0.0
66,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv172.6.mxl,,56.0,16,5,0.0
67,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv174.5.mxl,,76.0,21,4,0.0
68,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv175.7.mxl,,112.0,29,7,0.0
69,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv176.6.mxl,,72.0,23,4,0.0
70,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv177.4.mxl,,40.0,12,4,0.0
71,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv177.5.mxl,,52.0,15,4,0.0
72,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv178.7.mxl,,56.0,15,4,0.0
73,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv179.6.mxl,,36.0,11,4,0.0
74,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv18.5-lz.mxl,,52.0,16,4,0.0
75,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv18.5-w.mxl,,52.0,16,4,0.0
76,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv180.7.mxl,,60.0,15,4,0.0
77,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv183.5.mxl,,48.0,15,4,0.0
78,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv184.5.mxl,,56.0,17,4,0.0
79,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv185.6.mxl,,68.0,18,5,0.0
80,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv187.7.mxl,,84.0,28,4,0.0
81,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv188.6.mxl,,48.0,13,4,0.0
82,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv19.7.mxl,,81.0,27,8,0.0
83,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv190.7-inst.mxl,,128.0,33,15,0.0
84,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv190.7.mxl,,128.0,33,4,0.0
85,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv194.12.mxl,,49.0,18,4,0.0
86,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv194.6.mxl,,52.0,13,4,0.0
87,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv195.6.mxl,,40.0,11,8,0.0
88,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv197.10.mxl,,36.0,11,4,0.0
89,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv197.5.mxl,,56.0,15,4,0.0
90,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv197.7-a.mxl,,64.0,17,4,0.0
91,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv2.6.mxl,,44.0,13,4,0.0
92,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv20.11.mxl,,40.0,12,4,0.0
93,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv20.7.mxl,,64.0,17,4,0.0
94,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv226.2.mxl,,96.0,28,4,0.0
95,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv227.1.mxl,,76.0,19,4,0.0
96,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv227.11.mxl,,52.0,13,4,0.0
97,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv227.3.mxl,,76.0,19,5,0.0
98,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv227.7.mxl,,52.0,13,4,0.0
99,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv229.2.mxl,,84.0,28,4,0.0
100,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv24.6.mxl,,52.0,14,4,0.0
101,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv244.10.mxl,,48.0,13,4,0.0
102,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv244.15.mxl,,48.0,15,4,0.0
103,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv244.17.mxl,,64.0,17,4,0.0
104,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv244.25.mxl,,48.0,15,4,0.0
105,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv244.29-a.mxl,,52.0,13,4,0.0
106,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv244.3.mxl,,44.0,12,4,0.0
107,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv244.32.mxl,,44.0,12,4,0.0
108,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv244.37.mxl,,48.0,15,4,0.0
109,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv244.40.mxl,,64.0,16,4,0.0
110,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv244.44.mxl,,48.0,15,4,0.0
111,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv244.46.mxl,,44.0,12,4,0.0
112,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv244.54.mxl,,48.0,15,4,0.0
113,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv244.62.mxl,,48.0,15,4,0.0
114,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv245.11.mxl,,48.0,15,4,0.0
115,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv245.14.mxl,,64.0,16,4,0.0
116,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv245.15.mxl,,68.0,17,4,0.0
117,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv245.17.mxl,,44.0,14,4,0.0
118,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv245.22.mxl,,32.0,10,4,0.0
119,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv245.26.mxl,,48.0,15,4,0.0
120,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv245.28.mxl,,64.0,16,4,0.0
121,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv245.3.mxl,,44.0,12,4,0.0
122,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv245.37.mxl,,68.0,17,4,0.0
123,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv245.40.mxl,,112.0,29,4,0.0
124,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv245.5.mxl,,48.0,13,4,0.0
125,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv248.12-2.mxl,,48.0,15,4,0.0
126,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv248.17.mxl,,32.0,9,5,0.0
127,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv248.23-2.mxl,,85.5,15,8,0.0
128,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv248.23-s.mxl,,32.0,9,4,0.0
129,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv248.28.mxl,,40.0,11,4,0.0
130,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv248.33-3.mxl,,52.0,14,4,0.0
131,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv248.35-3.mxl,,44.0,14,4,0.0
132,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv248.35-3c.mxl,,44.0,12,5,0.0
133,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv248.42-4.mxl,,159.0,53,12,0.0
134,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv248.42-s.mxl,,84.0,28,4,0.0
135,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv248.46-5.mxl,,48.0,13,4,0.0
136,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv248.5.mxl,,48.0,15,4,0.0
137,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv248.53-5.mxl,,32.0,8,4,0.0
138,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv248.59-6.mxl,,40.0,12,5,0.0
139,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv248.64-6.mxl,,272.0,69,14,0.0
140,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv248.64-s.mxl,,64.0,17,4,0.0
141,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv248.9-1.mxl,,61.0,16,8,0.0
142,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv248.9-s.mxl,,32.0,9,5,0.0
143,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv25.6.mxl,,52.0,13,4,0.0
144,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv250.mxl,,40.0,12,6,0.0
145,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv251.mxl,,40.0,12,6,0.0
146,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv252.mxl,,48.0,15,6,0.0
147,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv253.mxl,,40.0,12,4,0.0
148,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv254.mxl,,44.0,14,4,0.0
149,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv255.mxl,,32.0,10,4,0.0
150,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv256.mxl,,40.0,12,4,0.0
151,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv257.mxl,,40.0,13,4,0.0
152,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv258.mxl,,40.0,13,4,0.0
153,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv259.mxl,,48.0,12,4,0.0
154,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv26.6.mxl,,40.0,10,4,0.0
155,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv260.mxl,,40.0,12,4,0.0
156,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv261.mxl,,78.0,23,4,0.0
157,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv262.mxl,,48.0,12,4,0.0
158,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv263.mxl,,48.0,12,4,0.0
159,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv264.mxl,,40.0,13,4,0.0
160,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv265.mxl,,32.0,10,4,0.0
161,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv266.mxl,,66.0,23,4,0.0
162,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv267.mxl,,68.0,20,4,0.0
163,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv268.mxl,,44.0,13,4,0.0
164,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv269.mxl,,63.0,24,4,0.0
165,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv27.6.mxl,,104.0,22,5,0.0
166,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv270.mxl,,48.0,15,4,0.0
167,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv271.mxl,,48.0,15,4,0.0
168,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv272.mxl,,48.0,15,4,0.0
169,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv273.mxl,,40.0,12,4,0.0
170,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv274.mxl,,32.0,10,4,0.0
171,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv275.mxl,,60.0,18,4,0.0
172,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv276.mxl,,118.0,32,4,0.0
173,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv277.krn,25. Christ lag in Todesbanden,49.0,14,4,0.0
174,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv277.mxl,,65.0,17,4,0.0
175,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv278.mxl,,48.0,15,4,0.0
176,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv279.mxl,,64.0,17,4,0.0
177,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv28.6.mxl,,48.0,15,4,0.0
178,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv280.mxl,,56.0,16,4,0.0
179,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv281.krn,"28. Christus, der ist mein Leben",32.0,9,4,0.0
180,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv281.mxl,,32.0,9,4,0.0
181,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv282.mxl,,57.0,20,4,0.0
182,C:\Users\14694\.pyenv\pyenv-win\versions\3.9.13\Lib\site-packages\music21\corpus\bach\bwv283.mxl,,68.0,17,4,0.0
